column,description,unit,source
share_global_co2_including_luc,"Share of global annual CO₂ emissions including land-use change - Annual total emissions of carbon dioxide (CO₂), including land-use change, measured as a percentage of global total emissions of CO₂ in the same year.",%,Global Carbon Budget (2023) [https://globalcarbonbudget.org/]
share_global_coal_co2,"Share of global annual CO₂ emissions from coal - Annual emissions of carbon dioxide (CO₂) from coal, measured as a percentage of global emissions of CO₂ from coal in the same year.",%,Global Carbon Budget (2023) [https://globalcarbonbudget.org/]
share_global_cumulative_cement_co2,"Share of global cumulative CO₂ emissions from cement - Cumulative emissions of carbon dioxide (CO₂) from cement since the first year of available data, measured as a percentage of global cumulative emissions of CO₂ from cement.",%,Global Carbon Budget (2023) [https://globalcarbonbudget.org/]
share_global_cumulative_co2,"Share of global cumulative CO₂ emissions - Total cumulative emissions of carbon dioxide (CO₂), excluding land-use change, since the first year of available data, measured as a percentage of global total cumulative emissions of CO₂.",%,Global Carbon Budget (2023) [https://globalcarbonbudget.org/]
share_global_cumulative_co2_including_luc,"Share of global cumulative CO₂ emissions including land-use change - Total cumulative emissions of carbon dioxide (CO₂), including land-use change, since the first year of available data, measured as a percentage of global total cumulative emissions of CO₂ (including land-use change).",%,Global Carbon Budget (2023) [https://globalcarbonbudget.org/]
share_global_cumulative_coal_co2,"Share of global cumulative CO₂ emissions from coal - Cumulative emissions of carbon dioxide (CO₂) from coal since the first year of available data, measured as a percentage of global cumulative emissions of CO₂ from coal.",%,Global Carbon Budget (2023) [https://globalcarbonbudget.org/]
share_global_cumulative_flaring_co2,"Share of global cumulative CO₂ emissions from flaring - Cumulative emissions of carbon dioxide (CO₂) from flaring since the first year of available data, measured as a percentage of global cumulative emissions of CO₂ from flaring.",%,Global Carbon Budget (2023) [https://globalcarbonbudget.org/]
share_global_cumulative_gas_co2,"Share of global cumulative CO₂ emissions from gas - Cumulative emissions of carbon dioxide (CO₂) from gas since the first year of available data, measured as a percentage of global cumulative emissions of CO₂ from gas.",%,Global Carbon Budget (2023) [https://globalcarbonbudget.org/]
share_global_cumulative_luc_co2,"Share of global cumulative CO₂ emissions from land-use change - Cumulative emissions of carbon dioxide (CO₂) from land-use change since the first year of available data, measured as a percentage of global cumulative emissions of CO₂ from land-use change.",%,Global Carbon Budget (2023) [https://globalcarbonbudget.org/]
share_global_cumulative_oil_co2,"Share of global cumulative CO₂ emissions from oil - Cumulative emissions of carbon dioxide (CO₂) from oil since the first year of available data, measured as a percentage of global cumulative emissions of CO₂ from oil.",%,Global Carbon Budget (2023) [https://globalcarbonbudget.org/]
share_global_cumulative_other_co2,"Share of global cumulative CO₂ emissions from other industry - Cumulative emissions of carbon dioxide (CO₂) from other industry sources since the first year of available data, measured as a percentage of global cumulative emissions of CO₂ from other industry sources.",%,Global Carbon Budget (2023) [https://globalcarbonbudget.org/]
share_global_flaring_co2,"Share of global annual CO₂ emissions from flaring - Annual emissions of carbon dioxide (CO₂) from flaring, measured as a percentage of global emissions of CO₂ from flaring in the same year.",%,Global Carbon Budget (2023) [https://globalcarbonbudget.org/]
share_global_gas_co2,"Share of global annual CO₂ emissions from gas - Annual emissions of carbon dioxide (CO₂) from gas, measured as a percentage of global emissions of CO₂ from gas in the same year.",%,Global Carbon Budget (2023) [https://globalcarbonbudget.org/]
share_global_luc_co2,"Share of global annual CO₂ emissions from land-use change - Annual emissions of carbon dioxide (CO₂) from land-use change, measured as a percentage of global emissions of CO₂ from land-use change in the same year.",%,Global Carbon Budget (2023) [https://globalcarbonbudget.org/]
share_global_oil_co2,"Share of global annual CO₂ emissions from oil - Annual emissions of carbon dioxide (CO₂) from oil, measured as a percentage of global emissions of CO₂ from oil in the same year.",%,Global Carbon Budget (2023) [https://globalcarbonbudget.org/]
share_global_other_co2,"Share of global annual CO₂ emissions from other industry - Annual emissions of carbon dioxide (CO₂) from other industry sources, measured as a percentage of global emissions of CO₂ from other industry sources in the same year.",%,Global Carbon Budget (2023) [https://globalcarbonbudget.org/]
share_of_temperature_change_from_ghg,Share of contribution to global warming - Measured as a percentage of the world's temperature change.,%,Jones et al. - National contributions to climate change (2024) [https://zenodo.org/records/7636699/latest]
temperature_change_from_ch4,Change in global mean surface temperature caused by methane emissions - Measured in °C.,°C,Jones et al. - National contributions to climate change (2024) [https://zenodo.org/records/7636699/latest]
temperature_change_from_co2,Change in global mean surface temperature caused by CO₂ emissions - Measured in °C.,°C,Jones et al. - National contributions to climate change (2024) [https://zenodo.org/records/7636699/latest]
temperature_change_from_ghg,Change in global mean surface temperature caused by greenhouse gas emissions - Measured in °C.,°C,Jones et al. - National contributions to climate change (2024) [https://zenodo.org/records/7636699/latest]
temperature_change_from_n2o,Change in global mean surface temperature caused by nitrous oxide emissions - Measured in °C.,°C,Jones et al. - National contributions to climate change (2024) [https://zenodo.org/records/7636699/latest]
total_ghg,Total greenhouse gas emissions including land-use change and forestry - Emissions are measured in million tonnes of carbon dioxide-equivalents.,million tonnes,Climate Watch - Greenhouse gas emissions by sector (2023) [https://www.climatewatchdata.org/data-explorer/historical-emissions]
total_ghg_excluding_lucf,Total greenhouse gas emissions excluding land-use change and forestry - Emissions are measured in million tonnes of carbon dioxide-equivalents.,million tonnes,Climate Watch - Greenhouse gas emissions by sector (2023) [https://www.climatewatchdata.org/data-explorer/historical-emissions]
trade_co2,"Annual CO₂ emissions embedded in trade - Annual net carbon dioxide (CO₂) emissions embedded in trade, measured in million tonnes.",million tonnes,Global Carbon Budget (2023) [https://globalcarbonbudget.org/]
trade_co2_share,"Share of annual CO₂ emissions embedded in trade - Annual net carbon dioxide (CO₂) emissions embedded in trade, measured as a percentage of emissions of CO₂.",%,Global Carbon Budget (2023) [https://globalcarbonbudget.org/]
